CardNumber,CardHolderFullName,CleansedCardholderName,CostCenter,MonthlyTransactionLimit,DailyTransactionLimit,SingleTransactionLimit,DailyCreditLimit,CardActivationDate,IssuedDate,EmployeeCompany,EmployeeDepartment,EmployeeID/Number,CardExpiryDate,CardCloseDate,CardStatus,CardStatusReason,CardType,ApprovedBy(ID),ApprovedBy(Name),ApprovedDate,UserDefinedColumn1,UserDefinedColumn2,UserDefinedColumn3,UserDefinedColumn4,UserDefinedColumn5
4297,Employee Name94,Employee Name94,3,0,,,,,4/26/2010,,,Employee ID94,4/30/2012,11/15/2011,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
1095,Employee Name13,Employee Name13,3,0,,,,,2/25/2016,,,Employee ID13,2/29/2020,12/31/9999,ACTIVE ACCOUNT,ACTIVE ACCOUNT,,,,,,,,,
1970,Employee Name79,Employee Name79,2,0,,,,,11/19/2009,,,Employee ID79,11/30/2013,10-01-2011,CANCELLED ACCOUNT,CANCELLED COLLECTIONS,,,,,,,,,
8584,Employee Name21,Employee Name21,3,0,,,,,10/17/2014,,,Employee ID21,10/31/2020,03-06-2019,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
7789,Employee Name27,Employee Name27,2,0,,,,,7/23/2010,,,Employee ID27,7/31/2014,2/28/2013,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
1745,Employee Name41,Employee Name41,4,0,,,,,10/15/2015,,,Employee ID41,10/31/2017,07-07-2017,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
7041,Employee Name149,Employee Name149,3,0,,,,,12/23/2015,,,Employee ID149,12/31/2019,12/31/9999,ACTIVE ACCOUNT,ACTIVE ACCOUNT,,,,,,,,,
842,Employee Name26,Employee Name26,8,0,,,,,8/17/2017,,,Employee ID26,8/31/2019,12/31/9999,ACTIVE ACCOUNT,ACTIVE ACCOUNT,,,,,,,,,
1041,Employee Name107,Employee Name107,3,0,,,,,02-02-2015,,,Employee ID107,2/28/2019,12-12-2018,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
8851,Employee Name1,Employee Name1,3,0,,,,,12-08-2009,,,Employee ID1,12/31/2019,12/31/9999,ACTIVE ACCOUNT,ACTIVE ACCOUNT,,,,,,,,,
4190,Employee Name7,Employee Name7,2,0,,,,,1/26/2010,,,Employee ID7,1/31/2016,3/30/2015,CANCELLED ACCOUNT,CANCELLED COLLECTIONS,,,,,,,,,
2114,Employee Name142,Employee Name142,8,0,,,,,12/17/2009,,,Employee ID142,12/31/2020,12/31/9999,ACTIVE ACCOUNT,ACTIVE ACCOUNT,,,,,,,,,
3521,Employee Name8,Employee Name8,10,0,,,,,2/13/2012,,,Employee ID8,2/28/2018,5/18/2016,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
9040,Employee Name114,Employee Name114,2,0,,,,,11/17/2009,,,Employee ID114,11/30/2013,10-01-2011,CANCELLED ACCOUNT,CANCELLED COLLECTIONS,,,,,,,,,
5557,Employee Name45,Employee Name45,7,0,,,,,9/24/2010,,,Employee ID45,9/30/2014,11-02-2012,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
796,Employee Name136,Employee Name136,2,0,,,,,06-08-2011,,,Employee ID136,6/30/2017,05-01-2016,CANCELLED ACCOUNT,CANCELLED COLLECTIONS,,,,,,,,,
1036,Employee Name81,Employee Name81,2,0,,,,,11/19/2009,,,Employee ID81,11/30/2013,11/14/2012,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
4187,Employee Name27,Employee Name27,2,0,,,,,04-08-2016,,,Employee ID27,4/30/2020,12/31/9999,ACTIVE ACCOUNT,ACTIVE ACCOUNT,,,,,,,,,
4542,Employee Name68,Employee Name68,8,0,,,,,4/25/2013,,,Employee ID68,10/31/2019,10/17/2018,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
2089,Employee Name128,Employee Name128,7,0,,,,,11-04-2009,,,Employee ID128,11/30/2013,10/25/2011,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
4559,Employee Name55,Employee Name55,4,0,,,,,3/19/2012,,,Employee ID55,3/31/2016,4/15/2015,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
2231,Employee Name63,Employee Name63,8,0,,,,,11/25/2009,,,Employee ID63,11/30/2013,1/16/2013,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
2779,Employee Name87,Employee Name87,2,0,,,,,11-02-2009,,,Employee ID87,11/30/2019,12/31/9999,ACTIVE ACCOUNT,ACTIVE ACCOUNT,,,,,,,,,
3919,Employee Name74,Employee Name74,2,0,,,,,06-03-2014,,,Employee ID74,6/30/2016,2/22/2016,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
3722,Employee Name7,Employee Name7,2,0,,,,,09-06-2018,,,Employee ID7,9/30/2020,03-06-2019,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
482,Employee Name139,Employee Name139,5,0,,,,,10/13/2011,,,Employee ID139,10/31/2017,11/17/2016,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
9385,Employee Name4,Employee Name4,3,0,,,,,11/16/2009,,,Employee ID4,11/30/2019,12/31/9999,ACTIVE ACCOUNT,ACTIVE ACCOUNT,,,,,,,,,
2647,Employee Name15,Employee Name15,8,0,,,,,7/29/2016,,,Employee ID15,7/31/2020,12/31/9999,ACTIVE ACCOUNT,ACTIVE ACCOUNT,,,,,,,,,
9275,Employee Name104,Employee Name104,8,0,,,,,12/30/2013,,,Employee ID104,12/31/2019,12/31/9999,ACTIVE ACCOUNT,ACTIVE ACCOUNT,,,,,,,,,
5605,Employee Name124,Employee Name124,7,0,,,,,8/15/2017,,,Employee ID124,8/31/2019,12/31/9999,ACTIVE ACCOUNT,ACTIVE ACCOUNT,,,,,,,,,
6971,Employee Name130,Employee Name130,9,0,,,,,11-11-2009,,,Employee ID130,11/30/2019,12/31/9999,ACTIVE ACCOUNT,ACTIVE ACCOUNT,,,,,,,,,
5264,Employee Name153,Employee Name153,8,0,,,,,05-12-2011,,,Employee ID153,5/31/2013,4/22/2013,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
6541,Employee Name111,Employee Name111,8,0,,,,,11-12-2009,,,Employee ID111,11/30/2014,11/14/2012,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
1576,Employee Name54,Employee Name54,3,0,,,,,11/13/2009,,,Employee ID54,11/30/2019,12/31/9999,ACTIVE ACCOUNT,ACTIVE ACCOUNT,,,,,,,,,
9361,Employee Name38,Employee Name38,2,0,,,,,10/31/2011,,,Employee ID38,10/31/2019,12/31/9999,ACTIVE ACCOUNT,ACTIVE ACCOUNT,,,,,,,,,
1360,Employee Name96,Employee Name96,3,0,,,,,5/19/2010,,,Employee ID96,5/31/2013,11/14/2012,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
5293,Employee Name90,Employee Name90,7,0,,,,,11-02-2009,,,Employee ID90,11/30/2011,07-09-2010,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
7438,Employee Name26,Employee Name26,8,0,,,,,11/16/2009,,,Employee ID26,11/30/2011,10/28/2010,CANCELLED ACCOUNT,CANCELLED COLLECTIONS,,,,,,,,,
5310,Employee Name155,Employee Name155,8,0,,,,,11-12-2009,,,Employee ID155,11/30/2011,07-01-2011,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
5275,Employee Name45,Employee Name45,7,0,,,,,9/16/2011,,,Employee ID45,9/30/2015,01-08-2014,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
8552,Employee Name135,Employee Name135,2,0,,,,,02-05-2018,,,Employee ID135,2/29/2020,12/31/9999,ACTIVE ACCOUNT,ACTIVE ACCOUNT,,,,,,,,,
8732,Employee Name133,Employee Name133,4,0,,,,,2/17/2012,,,Employee ID133,2/29/2020,12/31/9999,ACTIVE ACCOUNT,ACTIVE ACCOUNT,,,,,,,,,
6621,Employee Name23,Employee Name23,8,0,,,,,4/15/2015,,,Employee ID23,4/30/2021,12/31/9999,ACTIVE ACCOUNT,ACTIVE ACCOUNT,,,,,,,,,
1977,Employee Name143,Employee Name143,7,0,,,,,11-11-2009,,,Employee ID143,11/30/2015,07-01-2014,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
4697,Employee Name6,Employee Name6,3,0,,,,,9/25/2013,,,Employee ID6,9/30/2017,03-08-2017,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
9400,Employee Name29,Employee Name29,2,0,,,,,11/25/2009,,,Employee ID29,11/30/2013,4/30/2013,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
2777,Employee Name72,Employee Name72,7,0,,,,,2/25/2019,,,Employee ID72,2/28/2021,12/31/9999,ACTIVE ACCOUNT,ACTIVE ACCOUNT,,,,,,,,,
3378,Employee Name96,Employee Name96,3,0,,,,,11-12-2009,,,Employee ID96,11/30/2013,03-02-2012,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
2416,Employee Name155,Employee Name155,8,0,,,,,4/17/2015,,,Employee ID155,4/30/2019,2/19/2018,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
1830,Employee Name43,Employee Name43,3,0,,,,,12-07-2009,,,Employee ID43,12/31/2019,12/31/9999,ACTIVE ACCOUNT,ACTIVE ACCOUNT,,,,,,,,,
7703,Employee Name34,Employee Name34,8,0,,,,,2/14/2014,,,Employee ID34,2/28/2018,07-01-2017,CANCELLED ACCOUNT,CANCELLED COLLECTIONS,,,,,,,,,
6659,Employee Name32,Employee Name32,7,0,,,,,11-11-2010,,,Employee ID32,11/30/2018,9/28/2018,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
6963,Employee Name14,Employee Name14,9,0,,,,,3/30/2016,,,Employee ID14,3/31/2020,4/18/2019,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
9502,Employee Name30,Employee Name30,8,0,,,,,11-02-2009,,,Employee ID30,11/30/2013,10/27/2011,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
1451,Employee Name105,Employee Name105,8,0,,,,,10/18/2013,,,Employee ID105,10/31/2015,09-11-2015,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
2277,Employee Name22,Employee Name22,3,0,,,,,11-11-2009,,,Employee ID22,11/30/2017,05-01-2016,CANCELLED ACCOUNT,CANCELLED COLLECTIONS,,,,,,,,,
2060,Employee Name65,Employee Name65,8,0,,,,,8/27/2018,,,Employee ID65,8/31/2020,12/31/9999,ACTIVE ACCOUNT,ACTIVE ACCOUNT,,,,,,,,,
1009,Employee Name58,Employee Name58,8,0,,,,,1/16/2018,,,Employee ID58,1/31/2020,01-11-2019,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
1882,Employee Name60,Employee Name60,3,0,,,,,09-05-2011,,,Employee ID60,9/30/2013,4/22/2013,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
1442,Employee Name59,Employee Name59,2,0,,,,,2/17/2014,,,Employee ID59,2/29/2020,12/31/9999,ACTIVE ACCOUNT,ACTIVE ACCOUNT,,,,,,,,,
3550,Employee Name96,Employee Name96,3,0,,,,,02-02-2010,,,Employee ID96,2/28/2014,7/31/2013,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
5169,Employee Name4,Employee Name4,3,0,,,,,6/14/2016,,,Employee ID4,6/30/2018,2/26/2018,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
3388,Employee Name17,Employee Name17,2,0,,,,,11-02-2009,,,Employee ID17,11/30/2013,5/31/2013,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
8069,Employee Name121,Employee Name121,2,0,,,,,04-07-2010,,,Employee ID121,4/30/2021,12/31/9999,ACTIVE ACCOUNT,ACTIVE ACCOUNT,,,,,,,,,
7430,Employee Name155,Employee Name155,8,0,,,,,9/22/2015,,,Employee ID155,9/30/2019,12/31/9999,ACTIVE ACCOUNT,ACTIVE ACCOUNT,,,,,,,,,
5440,Employee Name57,Employee Name57,9,0,,,,,11/25/2009,,,Employee ID57,11/30/2019,12/31/9999,ACTIVE ACCOUNT,ACTIVE ACCOUNT,,,,,,,,,
7605,Employee Name8,Employee Name8,10,0,,,,,9/19/2014,,,Employee ID8,9/30/2020,12/31/9999,ACTIVE ACCOUNT,ACTIVE ACCOUNT,,,,,,,,,
5142,Employee Name133,Employee Name133,4,0,,,,,12-07-2009,,,Employee ID133,12/31/2019,12/31/9999,ACTIVE ACCOUNT,ACTIVE ACCOUNT,,,,,,,,,
8431,Employee Name116,Employee Name116,4,0,,,,,06-01-2010,,,Employee ID116,6/30/2015,4/15/2015,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
8214,Employee Name70,Employee Name70,9,0,,,,,11-02-2009,,,Employee ID70,11/30/2020,12/31/9999,ACTIVE ACCOUNT,ACTIVE ACCOUNT,,,,,,,,,
7630,Employee Name130,Employee Name130,9,0,,,,,11-09-2011,,,Employee ID130,11/30/2019,12/31/9999,ACTIVE ACCOUNT,ACTIVE ACCOUNT,,,,,,,,,
2379,Employee Name63,Employee Name63,8,0,,,,,11-02-2009,,,Employee ID63,11/30/2019,12/31/9999,ACTIVE ACCOUNT,ACTIVE ACCOUNT,,,,,,,,,
3893,Employee Name42,Employee Name42,3,0,,,,,01-09-2017,,,Employee ID42,1/31/2021,12/31/9999,ACTIVE ACCOUNT,ACTIVE ACCOUNT,,,,,,,,,
3801,Employee Name101,Employee Name101,3,0,,,,,6/27/2012,,,Employee ID101,6/30/2018,9/25/2017,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
2182,Employee Name49,Employee Name49,8,0,,,,,11/13/2009,,,Employee ID49,11/30/2015,04-01-2015,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
6511,Employee Name84,Employee Name84,3,0,,,,,11-11-2009,,,Employee ID84,11/30/2017,3/15/2016,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
9936,Employee Name101,Employee Name101,3,0,,,,,10/13/2011,,,Employee ID101,10/31/2013,04-01-2012,CANCELLED ACCOUNT,CANCELLED COLLECTIONS,,,,,,,,,
4955,Employee Name139,Employee Name139,5,0,,,,,06-06-2013,,,Employee ID139,6/30/2019,12/31/9999,ACTIVE ACCOUNT,ACTIVE ACCOUNT,,,,,,,,,
6386,Employee Name112,Employee Name112,9,0,,,,,12-07-2009,,,Employee ID112,12/31/2019,12/31/9999,ACTIVE ACCOUNT,ACTIVE ACCOUNT,,,,,,,,,
3506,Employee Name114,Employee Name114,2,0,,,,,10/27/2010,,,Employee ID114,10/31/2012,05-02-2011,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
5676,Employee Name149,Employee Name149,3,0,,,,,8/28/2017,,,Employee ID149,8/31/2019,12/31/9999,ACTIVE ACCOUNT,ACTIVE ACCOUNT,,,,,,,,,
5630,Employee Name32,Employee Name32,7,0,,,,,10/27/2017,,,Employee ID32,10/31/2019,12/31/9999,ACTIVE ACCOUNT,ACTIVE ACCOUNT,,,,,,,,,
7829,Employee Name149,Employee Name149,3,0,,,,,12-07-2009,,,Employee ID149,12/31/2019,12/31/9999,ACTIVE ACCOUNT,ACTIVE ACCOUNT,,,,,,,,,
6206,Employee Name33,Employee Name33,8,0,,,,,11/24/2010,,,Employee ID33,11/30/2014,2/28/2013,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
5493,Employee Name19,Employee Name19,8,0,,,,,1/15/2010,,,Employee ID19,1/31/2012,9/28/2010,CANCELLED ACCOUNT,CANCELLED COLLECTIONS,,,,,,,,,
9619,Employee Name29,Employee Name29,2,0,,,,,12-07-2009,,,Employee ID29,12/31/2015,01-07-2015,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
1553,Employee Name139,Employee Name139,5,0,,,,,12-08-2009,,,Employee ID139,12/31/2011,11/19/2010,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
4872,Employee Name91,Employee Name91,2,0,,,,,9/16/2011,,,Employee ID91,9/30/2015,4/30/2014,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
1925,Employee Name78,Employee Name78,7,0,,,,,12-07-2009,,,Employee ID78,12/31/2011,03-04-2010,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
7898,Employee Name89,Employee Name89,2,0,,,,,09-06-2010,,,Employee ID89,11/30/2012,8/21/2012,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
2110,Employee Name20,Employee Name20,2,0,,,,,11/16/2009,,,Employee ID20,11/30/2011,03-10-2011,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
659,Employee Name49,Employee Name49,8,0,,,,,03-01-2012,,,Employee ID49,3/31/2014,12/31/2013,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
6132,Employee Name46,Employee Name46,8,0,,,,,4/18/2018,,,Employee ID46,4/30/2020,12/31/9999,ACTIVE ACCOUNT,ACTIVE ACCOUNT,,,,,,,,,
811,Employee Name120,Employee Name120,9,0,,,,,03-07-2016,,,Employee ID120,3/31/2018,08-07-2017,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
1526,Employee Name28,Employee Name28,7,0,,,,,5/19/2010,,,Employee ID28,5/31/2020,12/31/9999,ACTIVE ACCOUNT,ACTIVE ACCOUNT,,,,,,,,,
6759,Employee Name155,Employee Name155,8,0,,,,,7/26/2012,,,Employee ID155,7/31/2014,04-01-2013,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
7781,Employee Name49,Employee Name49,8,0,,,,,12/18/2017,,,Employee ID49,12/31/2019,12/31/9999,ACTIVE ACCOUNT,ACTIVE ACCOUNT,,,,,,,,,
7883,Employee Name122,Employee Name122,8,0,,,,,9/25/2014,,,Employee ID122,9/30/2020,12/31/9999,ACTIVE ACCOUNT,ACTIVE ACCOUNT,,,,,,,,,
9991,Employee Name126,Employee Name126,3,0,,,,,09-05-2011,,,Employee ID126,9/30/2015,08-12-2014,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
9304,Employee Name156,Employee Name156,2,0,,,,,11/13/2009,,,Employee ID156,11/30/2013,5/31/2013,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
5964,Employee Name78,Employee Name78,7,0,,,,,11/16/2009,,,Employee ID78,11/30/2013,11/15/2011,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
480,Employee Name112,Employee Name112,9,0,,,,,2/15/2011,,,Employee ID112,2/29/2016,06-01-2015,CANCELLED ACCOUNT,CANCELLED COLLECTIONS,,,,,,,,,
9438,Employee Name89,Employee Name89,2,0,,,,,8/27/2012,,,Employee ID89,8/31/2016,10-01-2014,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
6609,Employee Name132,Employee Name132,9,0,,,,,06-06-2018,,,Employee ID132,6/30/2020,12/31/9999,ACTIVE ACCOUNT,ACTIVE ACCOUNT,,,,,,,,,
6741,Employee Name104,Employee Name104,8,0,,,,,06-06-2011,,,Employee ID104,6/30/2019,11-07-2017,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
1966,Employee Name14,Employee Name14,9,0,,,,,6/13/2016,,,Employee ID14,6/30/2020,9/18/2018,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
7615,Employee Name73,Employee Name73,2,0,,,,,11-12-2009,,,Employee ID73,12/31/2018,3/29/2018,CANCELLED ACCOUNT,CANCELLED COLLECTIONS,,,,,,,,,
1464,Employee Name71,Employee Name71,7,0,,,,,07-10-2015,,,Employee ID71,7/31/2019,03-05-2018,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
3619,Employee Name112,Employee Name112,9,0,,,,,11/13/2009,,,Employee ID112,11/30/2019,12/31/9999,ACTIVE ACCOUNT,ACTIVE ACCOUNT,,,,,,,,,
3753,Employee Name132,Employee Name132,9,0,,,,,11/16/2009,,,Employee ID132,11/30/2015,4/15/2015,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
813,Employee Name121,Employee Name121,2,0,,,,,11-11-2009,,,Employee ID121,11/30/2018,01-04-2018,CANCELLED ACCOUNT,RETURN MAIL/LEFT COMPANY,,,,,,,,,
